source,target
0,225
0,828
0,874
0,951
0,688
0,919
0,604
1,864
1,443
1,808
1,588
1,342
1,539
1,927
2,440
2,772
2,954
2,660
3,306
3,852
4,928
4,564
5,946
6,420
6,38
7,652
7,878
7,784
7,947
7,919
7,827
7,828
8,190
9,927
10,692
10,206
10,102
11,153
11,513
12,640
12,403
12,29
13,528
13,602
13,587
13,938
13,623
14,225
14,73
14,625
14,759
14,600
14,827
15,808
16,146
16,746
16,415
17,808
17,563
18,754
19,440
19,62
20,813
20,828
20,650
20,45
20,143
20,528
20,466
20,598
20,440
20,92
20,414
20,351
21,125
21,631
22,808
22,60
22,415
23,238
23,775
24,351
25,280
25,634
26,440
26,794
27,440
27,225
28,224
28,321
28,440
28,846
28,808
29,747
30,225
31,808
31,964
31,381
32,225
33,874
33,947
34,449
34,625
35,240
35,792
36,946
37,257
37,900
38,896
38,257
38,130
38,900
38,598
38,321
38,770
38,145
38,402
38,403
38,148
38,406
38,982
38,602
38,286
38,927
38,808
38,937
38,557
38,530
38,947
38,692
38,821
38,312
38,58
38,828
38,190
38,65
38,874
38,582
38,455
38,72
38,587
38,588
38,976
38,466
38,214
38,984
38,346
38,93
38,898
38,351
38,225
38,869
38,872
38,746
38,619
38,876
38,365
38,631
38,762
38,997
38,125
38,946
39,854
39,535
40,476
40,853
41,148
42,225
42,903
42,693
42,447
43,440
43,283
44,360
44,440
44,946
44,100
44,190
45,896
45,260
45,266
45,662
45,927
45,291
45,808
45,941
45,579
45,836
45,330
45,977
45,466
45,547
45,342
45,100
45,998
45,104
45,105
45,874
45,875
45,872
45,627
45,361
45,123
46,416
47,872
47,453
49,810
49,83
49,190
49,775
50,314
51,874
52,678
53,266
53,815
53,874
53,351
54,808
54,946
54,903
55,872
55,762
56,929
57,192
58,440
58,762
58,115
58,254
59,925
60,278
60,908
60,279
60,927
60,417
60,808
60,683
60,947
60,949
60,500
60,415
60,190
60,198
60,839
60,74
60,342
60,602
60,222
60,351
60,998
60,874
60,756
60,383
61,241
61,874
62,72
62,368
62,772
62,607
63,417
63,964
63,433
64,266
64,626
65,369
65,486
66,184
66,369
66,260
67,908
67,662
68,947
69,900
69,246
69,808
